coin,symbol,price,chain,1h,24h,24hVolume,fdv,numOfHolders,holderChange,lastAdded,url
Sportium,SPRT,$0.141407,Binance Smart Chain,-1.9489169596538358,18.005039304288143,"$1,598,089",?,-,-,11 days,https://www.coingecko.com//en/coins/sportium
Luxy,LUXY,$0.138576,Polygon POS,-0.37017063875310796,-0.4225264299196467,"$34,633.26","$13,857,595",-,-,8 days,https://www.coingecko.com//en/coins/luxy
KingSpeed,KSC,$0.138329,Binance Smart Chain,-0.337541999873883,-10.134129597626558,"$59,938.69","$27,859,121",-,-,4 days,https://www.coingecko.com//en/coins/kingspeed
SuperPlayer World,HONOR,$0.134735,Binance Smart Chain,-0.33276234338651456,-2.620903893530607,"$216,666","$80,868,067",-,-,9 days,https://www.coingecko.com//en/coins/superplayer-world
Kryxivia Game,KXA,$0.132756,Binance Smart Chain,0.6650433033148501,19.034969711876446,"$2,259,979","$33,137,314",-,-,4 days,https://www.coingecko.com//en/coins/kryxivia-game
bePAY Finance,BECOIN,$0.132421,ethereum,0.8685198304059498,6.977252546366876,"$10,397.82","$132,436,613",-,-,3 days,https://www.coingecko.com//en/coins/bepay-finance
NuNet,NTX,$0.130740,ethereum,2.7675377060678703,3.437153485702323,"$140,470","$82,529,639",-,-,11 days,https://www.coingecko.com//en/coins/nunet
Plastiks,PLASTIK,$0.126277,Binance Smart Chain,-1.0704963667548753,-24.994944667567697,"$134,957",?,-,-,6 days,https://www.coingecko.com//en/coins/plastiks
Metapay,MPAY,$0.123435,Binance Smart Chain,1.1723086308742583,3.6232679888851553,"$96,928.28","$1,234,347",-,-,10 days,https://www.coingecko.com//en/coins/metapay
Run,RUN,$0.121337,Solana,1.2121465669135698,-8.70684101152656,"$439,953","$120,895,403",-,-,16 hours,https://www.coingecko.com//en/coins/run
Brainiac,BRAINS,$0.116443,ethereum,0.5428858177212856,9.014542187629848,"$927,121","$3,628,452",-,-,23 hours,https://www.coingecko.com//en/coins/brainiac
Beast Masters,MASTER,$0.115672,Binance Smart Chain,5.918534427973978,-30.414217811529383,"$9,340,200","$34,701,638",-,-,21 hours,https://www.coingecko.com//en/coins/beast-masters
Credefi,CREDI,$0.114918,,-1.1968170458175547,-63.83191776735746,"$7,789,969",?,-,-,13 hours,https://www.coingecko.com//en/coins/credefi
ArcadeNetwork,ARC,$0.113575,Binance Smart Chain,-0.5941018468257098,-3.7476603032784808,"$180,055","$24,726,602",-,-,3 days,https://www.coingecko.com//en/coins/arcadenetwork
Vigorus,VIS,$0.107833,Polygon POS,-12.931468930539847,-30.289194048951668,"$682,272",?,-,-,4 days,https://www.coingecko.com//en/coins/vigorus
Liquid ICP,LICP,$0.102958,Polygon POS,-0.03930260302662475,-3.515737759318751,"$16,066.40","$1,029,576",-,-,3 days,https://www.coingecko.com//en/coins/liquid-icp
Elysian Token,ELS,$0.097434211615,XRP Ledger,3.983947109647358,-5.9029069954749955,"$177,150",?,-,-,11 days,https://www.coingecko.com//en/coins/elysian-token
THX Network,THX,$0.094455681606,ethereum,0.17891302037958287,-0.7311641529118853,"$22,283.69","$9,449,177",-,-,1 day,https://www.coingecko.com//en/coins/thx-network
SOLACE,SOLACE,$0.092651204385,ethereum,0.32925807619608427,-0.4944980005204132,"$22,623.31",?,-,-,3 days,https://www.coingecko.com//en/coins/solace
Particle Technology,PART,$0.092557155822,Solana,-9.816883617247864,-54.019300081815814,"$22,636.68",?,-,-,2 days,https://www.coingecko.com//en/coins/particle-technology
Miaw,MIAW,$0.092363846768,Terra,-0.4616264944677939,1.5030460276855486,"$19,546.70","$2,777,208",-,-,9 days,https://www.coingecko.com//en/coins/miaw
Twelve Legions,CTL,$0.088162858459,Binance Smart Chain,0.1396487893387511,-18.33163437299302,"$303,310","$19,403,969",-,-,3 days,https://www.coingecko.com//en/coins/twelve-legions
DoragonLand,DOR,$0.080862600359,Binance Smart Chain,2.8639484342702026,-33.19997275494782,"$712,862","$80,862,600",-,-,8 days,https://www.coingecko.com//en/coins/doragonland
Sif,SIF,$0.076926525682,Binance Smart Chain,4.658583806464985,133.98281955854924,"$434,123","$769,265,257",-,-,1 day,https://www.coingecko.com//en/coins/sif
DopeWarz,DRUG,$0.073218214066,Binance Smart Chain,1.0707871549463632,11.509648942640458,"$275,961","$73,218,214",-,-,5 days,https://www.coingecko.com//en/coins/dopewarz
Kalissa,KALI,$0.068956856446,Binance Smart Chain,0.9310065940660677,2.707185192715681,"$6,212.33","$10,343,528",-,-,3 days,https://www.coingecko.com//en/coins/kalissa
